country,population
,
China,1439323776
India,1382604367
USA,331378104
Indonesia,274076888
Pakistan,221694953
Brazil,212850840
Nigeria,207082359
Bangladesh,165003705
Russia,145946717
Mexico,129191920
Japan,126400050
Ethiopia,115489072
Philippines,109858222
Egypt,102696097
Vietnam,97506747
DRC,90056265
Turkey,84512590
Iran,84197490
Germany,83836082
Thailand,69834119
UK,67955088
France,65301684
Italy,60444341
Tanzania,60045071
South Africa,59451026
Myanmar,54480218
Kenya,53991444
S. Korea,51277818
Colombia,50986614
Spain,46758325
Uganda,46002692
Argentina,45275373
Sudan,44038896
Algeria,43999733
Ukraine,43681579
Iraq,40390075
Afghanistan,39091088
Poland,37838466
Canada,37805729
Morocco,36993989
Saudi Arabia,34916319
Uzbekistan,33561105
Peru,33058997
Angola,33051720
Malaysia,32444894
Mozambique,31415623
Ghana,31193859
Yemen,29948061
Nepal,29235232
Venezuela,28420047
Madagascar,27822054
Cameroon,26667760
Ivory Coast,26498813
Australia,25556340
Niger,24363330
Taiwan,23825191
Sri Lanka,21430683
Burkina Faso,21008296
Mali,20357307
Malawi,19220911
Romania,19212167
Chile,19147740
Kazakhstan,18819526
Zambia,18478142
Guatemala,17977729
Ecuador,17693726
Syria,17579208
Netherlands,17142267
Senegal,16825007
Cambodia,16762875
Chad,16511928
Somalia,15974361
Zimbabwe,14903911
Guinea,13198117
Rwanda,13011463
Benin,12181574
Burundi,11955257
Tunisia,11842281
Bolivia,11703253
Belgium,11599414
Haiti,11429014
Cuba,11325259
South Sudan,11218759
Dominican Republic,10868746
Czechia,10712859
Greece,10412967
Jordan,10222540
Portugal,10190843
Azerbaijan,10156724
Sweden,10111436
Honduras,9934349
UAE,9913177
Hungary,9655516
Tajikistan,9577417
Belarus,9448713
Israel,9197590
Austria,9016342
Papua New Guinea,8978777
Serbia,8730411
Switzerland,8666823
Togo,8314655
Sierra Leone,8007267
Hong Kong,7508684
Laos,7295562
Paraguay,7149228
Bulgaria,6938023
Libya,6889034
Lebanon,6819394
Nicaragua,6639582
Kyrgyzstan,6544487
El Salvador,6492548
Singapore,5859200
Denmark,5796169
Congo,5543161
Finland,5542401
Slovakia,5460160
Norway,5429403
Oman,5130550
Palestine,5123386
Costa Rica,5103047
Liberia,5079691
New Zealand,5002100
Ireland,4948322
CAR,4845562
Mauritania,4672120
Panama,4327596
Kuwait,4282528
Croatia,4100237
Moldova,4032116
Georgia,3987660
Eritrea,3555736
Uruguay,3476072
Mongolia,3288252
Bosnia and Herzegovina,3276764
Armenia,2964324
Jamaica,2963676
Albania,2877180
Qatar,2807805
Lithuania,2714619
Namibia,2549545
Gambia,2429085
Botswana,2360494
Gabon,2235455
Lesotho,2145518
North Macedonia,2083357
Slovenia,2078994
Guinea-Bissau,1976610
Latvia,1882012
Bahrain,1712195
Equatorial Guinea,1411305
Trinidad and Tobago,1400370
Estonia,1326710
Timor-Leste,1323149
Mauritius,1272180
Cyprus,1209053
Eswatini,1162463
Djibouti,990722
Fiji,897697
Réunion,896544
Comoros,873051
Guyana,787288
Bhutan,773232
Macao,651016
Montenegro,628082
Luxembourg,627899
Western Sahara,600050
Suriname,587641
Cabo Verde,557141
Maldives,542334
Malta,441772
Brunei,438282
Guadeloupe,400137
Belize,398983
Bahamas,393965
Martinique,375208
Iceland,341671
French Guiana,300106
Barbados,287444
New Caledonia,286024
French Polynesia,281222
Mayotte,274032
Sao Tome and Principe,219922
Saint Lucia,183790
Channel Islands,174171
Curaçao,164223
Grenada,112624
St. Vincent Grenadines,111009
Aruba,106854
Seychelles,98465
Antigua and Barbuda,98085
Isle of Man,85120
Andorra,77289
Dominica,72021
Cayman Islands,65869
Bermuda,62233
Greenland,56789
Saint Kitts and Nevis,53272
Faeroe Islands,48899
Sint Maarten,42969
Monaco,39296
Turks and Caicos,38816
Saint Martin,38790
Liechtenstein,38149
San Marino,33945
Gibraltar,33689
British Virgin Islands,30270
Caribbean Netherlands,26270
Anguilla,15029
St. Barth,9883
Saint Pierre Miquelon,5788
Montserrat,4993
Falkland Islands,3498
Vatican City,801
World,
North America,
Europe,
Asia,
South America,
Africa,
Oceania,
,
Diamond Princess,
MS Zaandam,
Total:,
Total:,
Total:,
Total:,
Total:,
Total:,
Total:,
Total:,
